sep=,
"Time","dt_sound_level_dB"
2022-03-16 00:05:00,47
2022-03-16 00:06:00,46
2022-03-16 00:07:00,55
2022-03-16 00:08:00,51
2022-03-16 00:09:00,50
2022-03-16 00:11:00,51
2022-03-16 00:11:00,52
2022-03-16 00:12:00,46
2022-03-16 00:14:00,44
2022-03-16 00:14:00,55
2022-03-16 00:15:00,48
2022-03-16 00:16:00,47
2022-03-16 00:17:00,41
2022-03-16 00:18:00,45
2022-03-16 00:19:00,43
2022-03-16 00:21:00,49
2022-03-16 00:21:00,52
2022-03-16 00:22:00,48
2022-03-16 00:23:00,41
2022-03-16 00:24:00,45
2022-03-16 00:26:00,49
2022-03-16 00:27:00,51
2022-03-16 00:28:00,48
2022-03-16 00:29:00,53
2022-03-16 00:30:00,46
2022-03-16 00:31:00,48
2022-03-16 00:32:00,45
2022-03-16 00:33:00,48
2022-03-16 00:34:00,48
2022-03-16 00:45:00,42
2022-03-16 00:46:00,40
2022-03-16 00:47:00,47
2022-03-16 00:48:00,53
2022-03-16 00:49:00,41
2022-03-16 00:50:00,48
2022-03-16 00:51:00,46
2022-03-16 00:52:00,44
2022-03-16 00:53:00,46
2022-03-16 00:54:00,43
2022-03-16 00:55:00,45
2022-03-16 00:56:00,47
2022-03-16 00:57:00,40
2022-03-16 00:58:00,43
2022-03-16 00:59:00,42
2022-03-16 01:00:00,44
2022-03-16 01:01:00,50
2022-03-16 01:02:00,47
2022-03-16 01:03:00,43
2022-03-16 01:04:00,44
2022-03-16 01:05:00,39
2022-03-16 01:06:00,40
2022-03-16 01:07:00,46
2022-03-16 01:09:00,48
2022-03-16 01:10:00,47
2022-03-16 01:11:00,43
2022-03-16 01:13:00,45
2022-03-16 01:13:00,49
2022-03-16 01:14:00,47
2022-03-16 01:15:00,50
2022-03-16 01:16:00,46
2022-03-16 01:17:00,47
2022-03-16 01:18:00,46
2022-03-16 01:20:00,39
2022-03-16 01:20:00,45
2022-03-16 01:21:00,43
2022-03-16 01:22:00,42
2022-03-16 01:23:00,48
2022-03-16 01:25:00,45
2022-03-16 01:25:00,47
2022-03-16 01:27:00,43
2022-03-16 01:28:00,44
2022-03-16 01:29:00,42
2022-03-16 01:30:00,40
2022-03-16 01:31:00,41
2022-03-16 01:32:00,44
2022-03-16 01:33:00,44
2022-03-16 01:34:00,40
2022-03-16 01:45:00,47
2022-03-16 01:46:00,39
2022-03-16 01:47:00,41
2022-03-16 01:48:00,45
2022-03-16 01:49:00,50
2022-03-16 01:50:00,44
2022-03-16 01:51:00,39
2022-03-16 01:52:00,41
2022-03-16 01:53:00,42
2022-03-16 01:54:00,45
2022-03-16 02:05:00,40
2022-03-16 02:07:00,40
2022-03-16 02:07:00,43
2022-03-16 02:08:00,44
2022-03-16 02:09:00,45
2022-03-16 02:10:00,44
2022-03-16 02:12:00,43
2022-03-16 02:12:00,44
2022-03-16 02:13:00,44
2022-03-16 02:15:00,43
2022-03-16 02:15:00,46
2022-03-16 02:16:00,42
2022-03-16 02:18:00,42
2022-03-16 02:18:00,44
2022-03-16 02:19:00,40
2022-03-16 02:20:00,45
2022-03-16 02:21:00,42
2022-03-16 02:22:00,39
2022-03-16 02:23:00,40
2022-03-16 02:25:00,41
2022-03-16 02:26:00,44
2022-03-16 02:27:00,44
2022-03-16 02:29:00,44
2022-03-16 02:30:00,42
2022-03-16 02:31:00,39
2022-03-16 02:32:00,43
2022-03-16 02:33:00,39
2022-03-16 02:34:00,41
2022-03-16 02:35:00,49
2022-03-16 02:36:00,40
2022-03-16 02:37:00,42
2022-03-16 02:38:00,41
2022-03-16 02:39:00,44
2022-03-16 02:40:00,45
2022-03-16 02:41:00,43
2022-03-16 02:42:00,44
2022-03-16 02:43:00,44
2022-03-16 02:44:00,41
2022-03-16 03:45:00,40
2022-03-16 03:46:00,43
2022-03-16 03:47:00,45
2022-03-16 03:48:00,44
2022-03-16 03:49:00,47
2022-03-16 03:50:00,41
2022-03-16 03:51:00,43
2022-03-16 03:52:00,43
2022-03-16 03:53:00,43
2022-03-16 03:54:00,44
2022-03-16 03:55:00,45
2022-03-16 03:56:00,45
2022-03-16 03:57:00,44
2022-03-16 03:58:00,42
2022-03-16 03:59:00,48
2022-03-16 04:00:00,46
2022-03-16 04:01:00,43
2022-03-16 04:02:00,44
2022-03-16 04:03:00,43
2022-03-16 04:04:00,41
2022-03-16 04:05:00,48
2022-03-16 04:06:00,42
2022-03-16 04:07:00,50
2022-03-16 04:08:00,50
2022-03-16 04:09:00,43
2022-03-16 04:10:00,40
2022-03-16 04:11:00,44
2022-03-16 04:12:00,42
2022-03-16 04:13:00,42
2022-03-16 04:14:00,45
2022-03-16 04:15:00,46
2022-03-16 04:16:00,46
2022-03-16 04:17:00,46
2022-03-16 04:18:00,43
2022-03-16 04:19:00,48
2022-03-16 04:20:00,46
2022-03-16 04:21:00,43
2022-03-16 04:22:00,50
2022-03-16 04:23:00,47
2022-03-16 04:25:00,41
2022-03-16 04:25:00,47
2022-03-16 04:26:00,47
2022-03-16 04:27:00,44
2022-03-16 04:28:00,46
2022-03-16 04:30:00,49
2022-03-16 04:31:00,45
2022-03-16 04:32:00,42
2022-03-16 04:33:00,44
2022-03-16 04:34:00,45
2022-03-16 04:35:00,50
2022-03-16 04:36:00,46
2022-03-16 04:37:00,42
2022-03-16 04:38:00,40
2022-03-16 04:39:00,43
2022-03-16 04:40:00,42
2022-03-16 04:41:00,45
2022-03-16 04:42:00,41
2022-03-16 04:43:00,46
2022-03-16 04:44:00,42
2022-03-16 05:45:00,51
2022-03-16 05:46:00,50
2022-03-16 05:47:00,47
