sep=,
"Time","dt_sound_level_dB"
2022-03-16 00:50:00,47
2022-03-16 00:51:00,51
2022-03-16 00:52:00,51
2022-03-16 00:53:00,51
2022-03-16 00:54:00,51
2022-03-16 00:55:00,46
2022-03-16 00:57:00,48
2022-03-16 00:57:00,52
2022-03-16 00:58:00,47
2022-03-16 00:59:00,50
2022-03-16 01:11:00,49
2022-03-16 01:12:00,49
2022-03-16 01:13:00,51
2022-03-16 01:14:00,49
2022-03-16 01:15:00,49
2022-03-16 01:16:00,47
2022-03-16 01:17:00,48
2022-03-16 01:18:00,48
2022-03-16 01:19:00,49
2022-03-16 01:20:00,48
2022-03-16 01:30:00,46
2022-03-16 01:31:00,46
2022-03-16 01:32:00,49
2022-03-16 01:33:00,47
2022-03-16 01:34:00,47
2022-03-16 01:35:00,46
2022-03-16 01:36:00,46
2022-03-16 01:37:00,47
2022-03-16 01:38:00,48
2022-03-16 01:39:00,47
2022-03-16 01:50:00,46
2022-03-16 01:52:00,50
2022-03-16 01:52:00,51
2022-03-16 01:53:00,50
2022-03-16 01:54:00,47
2022-03-16 01:55:00,50
2022-03-16 01:56:00,49
2022-03-16 01:57:00,48
2022-03-16 01:59:00,48
2022-03-16 01:59:00,50
2022-03-16 02:30:00,46
2022-03-16 02:31:00,46
2022-03-16 02:32:00,49
2022-03-16 02:33:00,49
2022-03-16 02:34:00,46
2022-03-16 02:35:00,46
2022-03-16 02:36:00,47
2022-03-16 02:37:00,51
2022-03-16 02:38:00,50
2022-03-16 02:39:00,52
2022-03-16 02:40:00,47
2022-03-16 02:41:00,47
2022-03-16 02:42:00,50
2022-03-16 02:43:00,50
2022-03-16 02:44:00,50
2022-03-16 02:46:00,48
2022-03-16 02:46:00,49
2022-03-16 02:47:00,46
2022-03-16 02:48:00,48
2022-03-16 02:50:00,47
2022-03-16 03:01:00,48
2022-03-16 03:01:00,51
2022-03-16 03:02:00,46
2022-03-16 03:04:00,48
2022-03-16 03:05:00,49
2022-03-16 03:06:00,47
2022-03-16 03:07:00,51
2022-03-16 03:08:00,47
2022-03-16 03:09:00,46
2022-03-16 03:10:00,47
2022-03-16 03:50:00,47
2022-03-16 03:52:00,46
2022-03-16 03:52:00,48
2022-03-16 03:53:00,48
2022-03-16 03:54:00,47
2022-03-16 03:55:00,48
2022-03-16 03:56:00,48
2022-03-16 03:57:00,48
2022-03-16 03:59:00,46
2022-03-16 03:59:00,50
2022-03-16 04:30:00,46
2022-03-16 04:31:00,47
2022-03-16 04:32:00,49
2022-03-16 04:33:00,49
2022-03-16 04:34:00,48
2022-03-16 04:35:00,47
2022-03-16 04:36:00,47
2022-03-16 04:37:00,47
2022-03-16 04:38:00,47
2022-03-16 04:39:00,48
2022-03-16 04:40:00,46
