sep=,
"Time","dt_sound_level_dB"
2022-03-16 00:00:00,48
2022-03-16 00:01:00,54
2022-03-16 00:02:00,55
2022-03-16 00:03:00,55
2022-03-16 00:04:00,49
2022-03-16 00:05:00,49
2022-03-16 00:27:00,50
2022-03-16 00:28:00,51
2022-03-16 00:29:00,52
2022-03-16 00:30:00,51
2022-03-16 00:31:00,51
2022-03-16 00:32:00,52
2022-03-16 00:33:00,50
2022-03-16 00:34:00,53
2022-03-16 00:35:00,49
2022-03-16 00:36:00,51
2022-03-16 00:37:00,52
2022-03-16 00:38:00,50
2022-03-16 00:39:00,50
2022-03-16 00:40:00,51
2022-03-16 00:41:00,50
2022-03-16 00:42:00,52
2022-03-16 00:43:00,50
2022-03-16 00:44:00,49
2022-03-16 00:45:00,55
2022-03-16 00:46:00,49
2022-03-16 01:47:00,50
2022-03-16 01:48:00,49
2022-03-16 01:49:00,49
2022-03-16 01:50:00,46
2022-03-16 01:52:00,51
2022-03-16 01:53:00,47
2022-03-16 01:54:00,49
2022-03-16 01:55:00,47
2022-03-16 01:55:00,50
2022-03-16 01:56:00,50
2022-03-16 01:57:00,48
2022-03-16 01:58:00,47
2022-03-16 01:59:00,47
2022-03-16 02:00:00,47
2022-03-16 02:01:00,47
2022-03-16 02:02:00,48
2022-03-16 02:04:00,46
2022-03-16 02:04:00,47
2022-03-16 02:06:00,47
2022-03-16 02:17:00,47
2022-03-16 02:18:00,47
2022-03-16 02:19:00,50
2022-03-16 02:20:00,48
2022-03-16 02:21:00,50
2022-03-16 02:22:00,47
2022-03-16 02:23:00,47
2022-03-16 02:24:00,46
2022-03-16 02:25:00,49
2022-03-16 02:26:00,47
2022-03-16 02:27:00,48
2022-03-16 02:28:00,50
2022-03-16 02:29:00,49
2022-03-16 02:30:00,48
2022-03-16 02:31:00,46
2022-03-16 02:32:00,45
2022-03-16 02:33:00,50
2022-03-16 02:34:00,46
2022-03-16 02:35:00,48
2022-03-16 02:36:00,49
2022-03-16 02:37:00,48
2022-03-16 02:38:00,51
2022-03-16 02:39:00,53
2022-03-16 02:40:00,46
2022-03-16 02:41:00,51
2022-03-16 02:42:00,49
2022-03-16 02:43:00,50
2022-03-16 02:44:00,49
2022-03-16 02:45:00,49
2022-03-16 02:46:00,50
2022-03-16 03:47:00,48
2022-03-16 03:48:00,48
2022-03-16 03:49:00,48
2022-03-16 03:50:00,47
2022-03-16 03:51:00,47
2022-03-16 03:52:00,50
