sep=,
"Time","dt_sound_level_dB"
2022-03-16 00:47:00,50
2022-03-16 00:48:00,52
2022-03-16 00:49:00,50
2022-03-16 00:50:00,50
2022-03-16 00:51:00,48
2022-03-16 00:52:00,50
2022-03-16 00:53:00,49
2022-03-16 00:54:00,50
2022-03-16 00:55:00,47
2022-03-16 00:56:00,50
2022-03-16 01:17:00,48
2022-03-16 01:18:00,51
2022-03-16 01:19:00,47
2022-03-16 01:20:00,46
2022-03-16 01:21:00,45
2022-03-16 01:22:00,47
2022-03-16 01:23:00,52
2022-03-16 01:24:00,49
2022-03-16 01:25:00,53
2022-03-16 01:26:00,50
2022-03-16 01:27:00,50
2022-03-16 01:28:00,52
2022-03-16 01:29:00,46
2022-03-16 01:30:00,49
2022-03-16 01:31:00,45
2022-03-16 01:32:00,49
2022-03-16 01:33:00,48
2022-03-16 01:34:00,49
2022-03-16 01:35:00,50
2022-03-16 01:57:00,48
2022-03-16 01:58:00,48
2022-03-16 01:59:00,50
2022-03-16 02:00:00,47
2022-03-16 02:01:00,48
2022-03-16 02:02:00,49
2022-03-16 02:03:00,45
2022-03-16 02:04:00,49
2022-03-16 02:05:00,49
2022-03-16 02:06:00,44
2022-03-16 02:07:00,51
2022-03-16 02:08:00,48
2022-03-16 02:09:00,48
2022-03-16 02:10:00,50
2022-03-16 02:11:00,49
2022-03-16 02:12:00,47
2022-03-16 02:13:00,49
2022-03-16 02:14:00,49
2022-03-16 02:15:00,46
2022-03-16 02:16:00,48
2022-03-16 02:17:00,44
2022-03-16 02:18:00,50
2022-03-16 02:19:00,47
2022-03-16 02:20:00,43
2022-03-16 02:21:00,46
2022-03-16 02:22:00,47
2022-03-16 02:23:00,45
2022-03-16 02:24:00,46
2022-03-16 02:25:00,45
2022-03-16 02:26:00,47
2022-03-16 04:07:00,47
2022-03-16 04:08:00,50
2022-03-16 04:09:00,48
2022-03-16 04:10:00,46
2022-03-16 04:11:00,45
2022-03-16 04:12:00,46
2022-03-16 04:13:00,51
2022-03-16 04:14:00,45
2022-03-16 04:15:00,47
2022-03-16 04:16:00,49
2022-03-16 05:47:00,48
2022-03-16 05:48:00,51
2022-03-16 05:49:00,47
2022-03-16 05:50:00,48
2022-03-16 05:51:00,48
2022-03-16 05:52:00,51
2022-03-16 05:53:00,50
2022-03-16 05:54:00,50
2022-03-16 05:55:00,51
2022-03-16 05:56:00,52
2022-03-16 06:07:00,51
2022-03-16 06:08:00,51
2022-03-16 06:09:00,52
2022-03-16 06:10:00,54
2022-03-16 06:11:00,53
2022-03-16 06:12:00,54
2022-03-16 06:13:00,54
2022-03-16 06:14:00,55
2022-03-16 06:15:00,57
2022-03-16 06:16:00,55
2022-03-16 06:17:00,56
2022-03-16 06:18:00,52
2022-03-16 06:19:00,54
2022-03-16 06:20:00,62
2022-03-16 06:21:00,57
2022-03-16 06:22:00,53
2022-03-16 06:23:00,56
2022-03-16 06:24:00,59
2022-03-16 06:25:00,55
2022-03-16 06:26:00,54
2022-03-16 06:47:00,51
2022-03-16 06:48:00,53
2022-03-16 06:49:00,58
2022-03-16 06:50:00,57
2022-03-16 06:51:00,53
2022-03-16 06:52:00,57
2022-03-16 06:53:00,53
2022-03-16 06:54:00,53
2022-03-16 06:55:00,56
2022-03-16 06:56:00,57
2022-03-16 06:57:00,57
2022-03-16 06:58:00,55
2022-03-16 06:59:00,57
2022-03-16 07:00:00,54
2022-03-16 07:01:00,51
2022-03-16 07:02:00,59
2022-03-16 07:03:00,57
2022-03-16 07:04:00,54
2022-03-16 07:05:00,52
2022-03-16 07:06:00,53
2022-03-16 07:07:00,53
2022-03-16 07:08:00,57
2022-03-16 07:09:00,55
2022-03-16 07:10:00,55
2022-03-16 07:11:00,52
2022-03-16 07:12:00,59
2022-03-16 07:13:00,57
2022-03-16 07:14:00,53
2022-03-16 07:15:00,58
2022-03-16 07:16:00,57
2022-03-16 07:57:00,58
2022-03-16 07:58:00,61
2022-03-16 07:59:00,58
2022-03-16 08:00:00,58
2022-03-16 08:01:00,58
2022-03-16 08:02:00,58
2022-03-16 08:03:00,58
2022-03-16 08:04:00,59
